name,category,material,shape,x,y,z,w_or_r,d_or_axis,h,cutlist_part,lumber,note
ShortLeg_BottomStretcher_2,frame,stretcher,box,111.5,80.5,4.0,29.0,3.5,1.5,"Cross stretcher, short leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
ShortLeg_TopStretcher_3,frame,stretcher,box,111.5,114.0,34.0,29.0,3.5,1.5,"Cross stretcher, short leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
ShortLeg_BottomStretcher_3,frame,stretcher,box,111.5,114.0,4.0,29.0,3.5,1.5,"Cross stretcher, short leg (29in)",2x4 SPF,"Horizontal 2x4, 29.0in long"
TopLeg_Top_Left,panel,ply_top,box,0,0,35.5,0.0,36.0,1.5,"Top panel, top leg sections",3/4 in plywood,Panel 0.0 x 36.0 x 1.50
Miter_Recess_Bottom,panel,ply_recess,box,0.0,2.0,33.0,36.0,30.0,0.75,Miter recess bottom panel (36 x 30 x 3/4),3/4 in plywood,Panel 36.0 x 30.0 x 0.75
TopLeg_Top_MiterBackLip,panel,ply_top,box,0.0,0,35.5,36.0,2.0,1.5,"Top panel, top leg sections",3/4 in plywood,Panel 36.0 x 2.0 x 1.50
TopLeg_Top_MiterFrontLip,panel,ply_top,box,0.0,32.0,35.5,36.0,4.0,1.5,"Top panel, top leg sections",3/4 in plywood,Panel 36.0 x 4.0 x 1.50
TopLeg_Top_MidRight,panel,ply_top,box,36.0,0,35.5,48.0,36.0,1.5,"Top panel, top leg sections",3/4 in plywood,Panel 48.0 x 36.0 x 1.50
TopLeg_Top_RouterBack,panel,ply_top,box,84.0,0,35.5,24.0,15.375,1.5,"Top panel, router area (4 sub-panels around insert)",3/4 in plywood,Panel 24.0 x 15.4 x 1.50
TopLeg_Top_RouterFront,panel,ply_top,box,84.0,24.625,35.5,24.0,11.375,1.5,"Top panel, router area (4 sub-panels around insert)",3/4 in plywood,Panel 24.0 x 11.4 x 1.50
TopLeg_Top_RouterLeft,panel,ply_top,box,84.0,15.375,35.5,6.125,9.25,1.5,"Top panel, router area (4 sub-panels around insert)",3/4 in plywood,Panel 6.1 x 9.2 x 1.50
TopLeg_Top_RouterRight,panel,ply_top,box,101.875,15.375,35.5,6.125,9.25,1.5,"Top panel, router area (4 sub-panels around insert)",3/4 in plywood,Panel 6.1 x 9.2 x 1.50
Router_Insert_Plate,tool,router_insert,box,90.125,15.375,36.5,11.75,9.25,0.5,,,Phenolic/aluminum router insert plate (commercial)
TopLeg_Top_FarRight,panel,ply_top,box,108.0,0,35.5,36.0,36.0,1.5,"Top panel, top leg sections",3/4 in plywood,Panel 36.0 x 36.0 x 1.50
ShortLeg_Top_AboveSaw,panel,ply_top,box,108.0,36.0,35.5,36.0,6.0,1.5,"Top panel, short leg sections",3/4 in plywood,Panel 36.0 x 6.0 x 1.50
ShortLeg_Top_SawRoomStrip,panel,ply_top,box,108.0,42.0,35.5,2.0,32.0,1.5,"Top panel, saw cavity strips",3/4 in plywood,Panel 2.0 x 32.0 x 1.50
ShortLeg_Top_SawWallStrip,panel,ply_top,box,142.0,42.0,35.5,2.0,32.0,1.5,"Top panel, saw cavity strips",3/4 in plywood,Panel 2.0 x 32.0 x 1.50
ShortLeg_Top_BetweenCavities,panel,ply_top,box,108.0,74.0,35.5,36.0,10.0,1.5,"Top panel, short leg sections",3/4 in plywood,Panel 36.0 x 10.0 x 1.50
ShortLeg_Top_PlanerRoomStrip,panel,ply_top,box,108.0,84.0,35.5,3.0,30.0,1.5,"Top panel, planer cavity strips",3/4 in plywood,Panel 3.0 x 30.0 x 1.50
ShortLeg_Top_PlanerWallStrip,panel,ply_top,box,141.0,84.0,35.5,3.0,30.0,1.5,"Top panel, planer cavity strips",3/4 in plywood,Panel 3.0 x 30.0 x 1.50
ShortLeg_Top_End,panel,ply_top,box,108.0,114.0,35.5,36.0,6.0,1.5,"Top panel, short leg sections",3/4 in plywood,Panel 36.0 x 6.0 x 1.50
TopLeg_ToeKick_Front,panel,ply_panel,box,0,32.25,0,144.0,0.75,4.0,Toe kick board (4in tall),3/4 in plywood,Panel 144.0 x 0.8 x 4.00
TopLeg_ToeKick_Back,panel,ply_panel,box,0,0,0,144.0,0.75,4.0,Toe kick board (4in tall),3/4 in plywood,Panel 144.0 x 0.8 x 4.00
TopLeg_ToeKick_LeftEnd,panel,ply_panel,box,0,0,0,0.75,36.0,4.0,Toe kick end cap (4 x 36),3/4 in plywood,Panel 0.8 x 36.0 x 4.00
ShortLeg_ToeKick_Room,panel,ply_panel,box,111.0,36.0,0,0.75,84.0,4.0,Toe kick board (4in tall),3/4 in plywood,Panel 0.8 x 84.0 x 4.00
ShortLeg_ToeKick_Wall,panel,ply_panel,box,143.25,36.0,0,0.75,84.0,4.0,Toe kick board (4in tall),3/4 in plywood,Panel 0.8 x 84.0 x 4.00
ShortLeg_ToeKick_FrontEnd,panel,ply_panel,box,108.0,119.25,0,36.0,0.75,4.0,Toe kick end cap (4 x 36),3/4 in plywood,Panel 36.0 x 0.8 x 4.00
TopLeg_EndPanel_Left,panel,ply_panel,box,0,0,4.0,0.75,36.0,33.0,End panel (33 x 36 x 3/4),3/4 in plywood,Panel 0.8 x 36.0 x 33.00
ShortLeg_EndPanel_Front,panel,ply_panel,box,108.0,119.25,4.0,36.0,0.75,33.0,End panel (33 x 36 x 3/4),3/4 in plywood,Panel 36.0 x 0.8 x 33.00
Planer_Slide_LeftBack,hardware,drawer_slide,box,111.0,85.0,4.0,1.5,1.0,24.0,,,"HD drawer slide #1 (left-back) - 24in travel, 220lb rated"
Planer_Slide_LeftFront,hardware,drawer_slide,box,111.0,112.0,4.0,1.5,1.0,24.0,,,"HD drawer slide #2 (left-front) - 24in travel, 220lb rated"
Planer_Slide_RightBack,hardware,drawer_slide,box,139.5,85.0,4.0,1.5,1.0,24.0,,,"HD drawer slide #3 (right-back) - 24in travel, 220lb rated"
Planer_Slide_RightFront,hardware,drawer_slide,box,139.5,112.0,4.0,1.5,1.0,24.0,,,"HD drawer slide #4 (right-front) - 24in travel, 220lb rated"
Planer_GasStrut_LeftBack,hardware,gas_strut,box,113.0,86.0,4.0,3.0,3.0,24.0,,,"Gas strut, ~50lb force, mounted at angle. 4 total give near-neutral buoyancy across travel"
Planer_GasStrut_LeftFront,hardware,gas_strut,box,113.0,109.0,4.0,3.0,3.0,24.0,,,"Gas strut, ~50lb force, mounted at angle. 4 total give near-neutral buoyancy across travel"
Planer_GasStrut_RightBack,hardware,gas_strut,box,136.0,86.0,4.0,3.0,3.0,24.0,,,"Gas strut, ~50lb force, mounted at angle. 4 total give near-neutral buoyancy across travel"
Planer_GasStrut_RightFront,hardware,gas_strut,box,136.0,109.0,4.0,3.0,3.0,24.0,,,"Gas strut, ~50lb force, mounted at angle. 4 total give near-neutral buoyancy across travel"
